0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:31:35 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:31:35 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:31:36 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:31:36 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:10 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:10 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:25 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:25 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:25 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:26 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:29 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:29 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:30 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:30 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:30 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
